Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.03     0.03        1    30.00    34.84  Graph::DFS(int, std::vector<bool, std::allocator<bool> >&, std::vector<int, std::allocator<int> >&)
 16.67      0.05     0.02   600000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
 16.67      0.07     0.02    20000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
 16.67      0.09     0.02        1    20.00    24.84  Graph::fillOrder(int, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  8.33      0.10     0.01   640001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  8.33      0.11     0.01   600000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  4.17      0.12     0.01   600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  4.17      0.12     0.01   600000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::construct<int, int const&>(std::allocator<std::_List_node<int> >&, int*, int const&)
  0.00      0.12     0.00  2440093     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.12     0.00  1800000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.12     0.00  1800000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.12     0.00  1800000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.12     0.00  1200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.12     0.00   640006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.12     0.00   640002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.12     0.00   640001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.12     0.00   640001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.12     0.00   640001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.12     0.00   640000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.12     0.00   640000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.12     0.00   640000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.12     0.00   640000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.12     0.00   640000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.12     0.00   640000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.12     0.00   620000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.12     0.00   620000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.12     0.00   620000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
