Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 18.18      0.02     0.02   640001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
 18.18      0.04     0.02   620000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
 13.64      0.06     0.01  2612799     0.00     0.00  std::__deque_buf_size(unsigned long)
  9.09      0.07     0.01   640000     0.00     0.00  std::_Bit_iterator::operator*() const
  9.09      0.07     0.01   630001     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  9.09      0.09     0.01   620000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  9.09      0.10     0.01   620000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::operator[](unsigned long)
  9.09      0.10     0.01                             _init
  4.55      0.11     0.01        1     5.00     5.00  std::__lg(long)
  0.00      0.11     0.00  2482311     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::_S_buffer_size()
  0.00      0.11     0.00  1240093     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.11     0.00   640006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.11     0.00   640002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.11     0.00   640001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.11     0.00   640001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.11     0.00   640001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.11     0.00   640000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.11     0.00   640000     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator*() const
  0.00      0.11     0.00   640000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.11     0.00   640000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.11     0.00   640000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.11     0.00   622995     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::_M_set_node(std::deque<int, std::allocator<int> >**)
  0.00      0.11     0.00   620024     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::_Deque_iterator(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&)
  0.00      0.11     0.00   620002     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator+=(long)
  0.00      0.11     0.00   620002     0.00     0.00  std::operator+(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&, long)
  0.00      0.11     0.00   620000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.11     0.00   620000     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator[](long) const
  0.00      0.11     0.00   620000     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.11     0.00   610000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.11     0.00   610000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.11     0.00   600000     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  0.00      0.11     0.00   418381     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.11     0.00   300000     0.00     0.00  Graph::addEdgeReverse(int, int)
  0.00      0.11     0.00   300000     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.11     0.00   125286     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      0.11     0.00   118449     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.11     0.00    94248     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.11     0.00    93152     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--()
  0.00      0.11     0.00    90002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.11     0.00    85060     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.11     0.00    50001     0.00     0.00  std::deque<int, std::allocator<int> >::end()
  0.00      0.11     0.00    40322     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.11     0.00    40244     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.11     0.00    40088     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.11     0.00    40010     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.11     0.00    40010     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
  0.00      0.11     0.00    40010     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_map_allocator() const
  0.00      0.11     0.00    40010     0.00     0.00  std::allocator<int*>::allocator<int>(std::allocator<int> const&)
  0.00      0.11     0.00    40010     0.00     0.00  std::allocator<int*>::~allocator()
  0.00      0.11     0.00    40002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.00      0.11     0.00    40001     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.11     0.00    40000     0.00     0.00  std::deque<int, std::allocator<int> >* std::__addressof<std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >&)
  0.00      0.11     0.00    36645     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(int&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      0.11     0.00    30001     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.11     0.00    23934     0.00     0.00  bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.11     0.00    23934     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
