Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 43.18      0.19     0.19 23232667     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_default_append(unsigned long)
 11.36      0.24     0.05 22503070     0.00     0.00  void std::__move_median_to_first<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  9.09      0.28     0.04 20370000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  6.82      0.31     0.03 27003000     0.00     0.00  std::_Deque_iterator<int, int&, int*> std::__unguarded_partition_pivot<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  6.82      0.34     0.03 15821511     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_initialize_map(unsigned long)
  4.55      0.36     0.02 20978167     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_erase_at_end(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>)
  4.55      0.38     0.02 13516011     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  2.27      0.39     0.01 18000000     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reserve_map_at_back(unsigned long)
  2.27      0.40     0.01  9005477     0.00     0.00  void std::__unguarded_linear_insert<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Val_less_iter>(std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Val_less_iter)
  2.27      0.41     0.01  4532000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_destroy_data(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::allocator<std::deque<int, std::allocator<int> > > const&)
  2.27      0.42     0.01  4515000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_new_elements_at_back(unsigned long)
  2.27      0.43     0.01     6000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  2.27      0.44     0.01     3000     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.44     0.00  4507499     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::~deque()
  0.00      0.44     0.00  4500002     0.00     0.00  void std::_Construct<std::deque<int, std::allocator<int> >>(std::deque<int, std::allocator<int> >*)
  0.00      0.44     0.00  4500000     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> >*>::deallocate(std::deque<int, std::allocator<int> >**, unsigned long)
  0.00      0.44     0.00  4500000     0.00     0.00  __gnu_cxx::new_allocator<std::deque<int, std::allocator<int> > >::_M_max_size() const
  0.00      0.44     0.00  4500000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  0.00      0.44     0.00  4500000     0.00     0.00  void std::_Destroy<std::deque<int, std::allocator<int> >*, std::deque<int, std::allocator<int> > >(std::deque<int, std::allocator<int> >*, std::deque<int, std::allocator<int> >*, std::allocator<std::deque<int, std::allocator<int> > >&)
  0.00      0.44     0.00  2273500     0.00     0.00  void std::__uninitialized_default<std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> >(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>)
  0.00      0.44     0.00    61509     0.00     0.00  std::deque<bool, std::allocator<bool> >::_M_fill_initialize(bool const&)
  0.00      0.44     0.00    44007     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  0.00      0.44     0.00    32000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_impl::_Deque_impl(std::allocator<bool> const&)
  0.00      0.44     0.00    31000     0.00     0.00  std::deque<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.44     0.00    22006     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::stack<std::deque<int, std::allocator<int> >, void>()
  0.00      0.44     0.00    22001     0.00     0.00  std::allocator<bool>::allocator()
  0.00      0.44     0.00    22001     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.44     0.00    22000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::size() const
  0.00      0.44     0.00    22000     0.00     0.00  std::allocator<bool>::~allocator()
  0.00      0.44     0.00    22000     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.44     0.00    21760     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator+=(long)
  0.00      0.44     0.00    19000     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_deallocate_map(std::deque<int, std::allocator<int> >**, unsigned long)
  0.00      0.44     0.00    19000     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.44     0.00    19000     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.44     0.00    18000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.44     0.00    16000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::end()
  0.00      0.44     0.00    16000     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::begin()
  0.00      0.44     0.00    15039     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_initialize_map(unsigned long)
  0.00      0.44     0.00    14737     0.00     0.00  std::_Deque_iterator<int, int&, int*> std::move_backward<std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*> >(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>)
  0.00      0.44     0.00    14071     0.00     0.00  void std::__sort_heap<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter&)
  0.00      0.44     0.00    13554     0.00     0.00  __gnu_cxx::new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.44     0.00    12000     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.44     0.00    12000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.44     0.00     9040     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_destroy_nodes(bool**, bool**)
  0.00      0.44     0.00     9001     0.00     0.00  void std::__partial_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     9000     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_destroy_nodes(std::deque<int, std::allocator<int> >**, std::deque<int, std::allocator<int> >**)
  0.00      0.44     0.00     8000     0.00     0.00  Graph::fillOrder(int, std::deque<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&)
  0.00      0.44     0.00     6020     0.00     0.00  std::deque<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::resize(unsigned long)
  0.00      0.44     0.00     6004     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.44     0.00     6002     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_Deque_iterator(std::_Deque_iterator<bool, bool&, bool*> const&)
  0.00      0.44     0.00     6000     0.00     0.00  std::allocator<std::deque<int, std::allocator<int> >*>::allocator<std::deque<int, std::allocator<int> > >(std::allocator<std::deque<int, std::allocator<int> > > const&)
  0.00      0.44     0.00     4515     0.00     0.00  void std::__introsort_loop<std::_Deque_iterator<int, int&, int*>, long, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, long, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     4501     0.00     0.00  std::operator-(std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&, std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*> const&)
  0.00      0.44     0.00     3022     0.00     0.00  void std::__insertion_sort<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.44     0.00     3003     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_create_nodes(std::deque<int, std::allocator<int> >**, std::deque<int, std::allocator<int> >**)
  0.00      0.44     0.00     3002     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  0.00      0.44     0.00     3001     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_iterator<std::deque<int, std::allocator<int> >, std::deque<int, std::allocator<int> >&, std::deque<int, std::allocator<int> >*>::operator*() const
  0.00      0.44     0.00     3000     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.44     0.00     3000     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.44     0.00     3000     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::_Deque_impl()
