Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 36.36      0.16     0.16                             __gnu_cxx::new_allocator<bool>::~new_allocator()
  6.82      0.19     0.03 14220667     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  6.82      0.22     0.03 13532000     0.00     0.00  std::deque<int, std::allocator<int> >::pop_back()
  6.82      0.25     0.03  4506000     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  4.55      0.27     0.02 20975167     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_base(std::allocator<bool> const&, unsigned long)
  4.55      0.29     0.02 18000000     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::operator+=(long)
  4.55      0.31     0.02 13516011     0.00     0.00  std::operator-(std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*> const&, std::_Deque_iterator<std::deque<bool, std::allocator<bool> >, std::deque<bool, std::allocator<bool> >&, std::deque<bool, std::allocator<bool> >*> const&)
  4.55      0.33     0.02                             std::_Deque_base<bool, std::allocator<bool> >::_M_allocate_map(unsigned long)
  4.55      0.35     0.02                             std::_Deque_base<int, std::allocator<int> >::_M_allocate_node()
  3.41      0.36     0.01    21000     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  2.27      0.38     0.01 22536000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_initialize_map(unsigned long)
  2.27      0.39     0.01 13505545     0.00     0.00  std::_Deque_iterator<int, int&, int*> std::__unguarded_partition_pivot<std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, __gnu_cxx::__ops::_Iter_less_iter)
  2.27      0.40     0.01  9003000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_M_create_nodes(bool**, bool**)
  2.27      0.41     0.01  6795500     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  2.27      0.41     0.01  4516000     0.00     0.00  std::deque<std::deque<bool, std::allocator<bool> >, std::allocator<std::deque<bool, std::allocator<bool> > > >::begin()
  2.27      0.42     0.01  4503000     0.00     0.00  std::operator+(std::_Deque_iterator<bool, bool&, bool*> const&, long)
  2.27      0.43     0.01    16000     0.00     0.00  std::_Deque_iterator<bool, bool&, bool*>::_Deque_iterator(bool*, bool**)
  1.14      0.44     0.01                             std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.44     0.00 22500000     0.00     0.00  std::_Deque_base<bool, std::allocator<bool> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.44     0.00 13516011     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
